Player,School,POS,REC,YDS,AVG,LNG,TD
Malik Nabers,LSU,['WR'],['56'],['981'],['17.5'],['51'],['9']
Luther Burden III,MIZ,['WR'],['61'],['905'],['14.8'],['56'],['6']
Caullin Lacy,USA,['WR'],['48'],['826'],['17.2'],['84'],['6']
Rome Odunze,WASH,['WR'],['45'],['818'],['18.2'],['50'],['6']
Malik Washington,UVA,['WR'],['56'],['783'],['14.0'],['63'],['6']
Troy Franklin,ORE,['WR'],['44'],['768'],['17.5'],['72'],['8']
Marvin Harrison Jr.,OSU,['WR'],['42'],['766'],['18.2'],['75'],['6']
Tory Horton,CSU,['WR'],['65'],['738'],['11.4'],['76'],['6']
Xavier Legette,SC,['WR'],['38'],['736'],['19.4'],['76'],['3']
Brian Thomas Jr.,LSU,['WR'],['42'],['732'],['17.4'],['86'],['11']
Kris Mitchell,FIU,['WR'],['43'],['711'],['16.5'],['64'],['5']
Jalen Royals,USU,['WR'],['43'],['707'],['16.4'],['71'],['10']
Steven McBride,HAW,['WR'],['40'],['701'],['17.5'],['65'],['8']
Ja'Lynn Polk,WASH,['WR'],['41'],['688'],['16.8'],['50'],['5']
Ja'Mori Maclin,UNT,['WR'],['33'],['658'],['19.9'],['80'],['9']
Malachi Corley,WKU,['WR'],['49'],['647'],['13.2'],['70'],['7']
Jamari Thrash,LOU,['WR'],['39'],['639'],['16.4'],['85'],['6']
Terrell Vaughn,USU,['WR'],['56'],['639'],['11.4'],['76'],['8']
Smoke Harris,LT,['WR'],['62'],['637'],['10.3'],['64'],['3']
LaJohntay Wester,FAU,['WR'],['66'],['636'],['9.6'],['40'],['3']
Xavier Weaver,COLO,['WR'],['50'],['631'],['12.6'],['48'],['4']
Samuel Brown,HOU,['WR'],['41'],['629'],['15.3'],['53'],['2']
Eric McAlister,BOIS,['WR'],['32'],['628'],['19.6'],['83'],['4']
Ricky Pearsall,FLA,['WR'],['44'],['619'],['14.1'],['50'],['3']
Luke McCaffrey,RICE,['WR'],['36'],['613'],['17.0'],['51'],['7']
Joey Hobert,TXST,['WR'],['48'],['612'],['12.8'],['83'],['6']
Tahj Washington,USC,['WR'],['30'],['609'],['20.3'],['76'],['5']
Xavier Restrepo,MIA,['WR'],['54'],['600'],['11.1'],['48'],['4']
Tetairoa McMillan,ARIZ,['WR'],['40'],['592'],['14.8'],['55'],['5']
Elic Ayomanor,STAN,['WR'],['36'],['591'],['16.4'],['97'],['4']
Khaleb Hood,GASO,['WR'],['57'],['590'],['10.4'],['43'],['3']
Dallin Holker,CSU,['TE'],['43'],['577'],['13.4'],['42'],['6']
CJ Daniels,LIB,['WR'],['27'],['576'],['21.3'],['75'],['5']
Will Sheppard,VAN,['WR'],['36'],['574'],['15.9'],['85'],['8']
Gage Larvadain,M-OH,['WR'],['30'],['572'],['19.1'],['99'],['6']
Pofele Ashlock,HAW,['WR'],['50'],['572'],['11.4'],['53'],['5']
Anthony Simpson,MASS,['WR'],['36'],['568'],['15.8'],['71'],['3']
Brock Bowers,UGA,['TE'],['41'],['567'],['13.8'],['49'],['4']
Sam Pinckney,CCU,['WR'],['39'],['565'],['14.5'],['52'],['4']
Isaiah Williams,ILL,['WR'],['46'],['562'],['12.2'],['49'],['1']
Robert Lewis,GAST,['WR'],['34'],['561'],['16.5'],['97'],['5']
Ricky White,UNLV,['WR'],['39'],['559'],['14.3'],['82'],['2']
Roc Taylor,MEM,['WR'],['38'],['556'],['14.6'],['53'],['2']
Erik Brooks,FRES,['WR'],['39'],['551'],['14.1'],['49'],['4']
Javon Baker,UCF,['WR'],['26'],['551'],['21.2'],['86'],['4']
Sean Atkins,USF,['WR'],['51'],['550'],['10.8'],['88'],['3']
Reggie Brown,JMU,['WR'],['26'],['549'],['21.1'],['74'],['4']
Kyle Williams,WSU,['WR'],['38'],['549'],['14.4'],['63'],['4']
Xavier Worthy,TEX,['WR'],['40'],['545'],['13.6'],['44'],['4']
Jordan Watkins,MISS,['WR'],['36'],['536'],['14.9'],['68'],['2']
Lincoln Victor,WSU,['WR'],['44'],['522'],['11.9'],['50'],['3']
Andrew Armstrong,ARK,['WR'],['43'],['520'],['12.1'],['48'],['4']
Kelly Akharaiyi,UTEP,['WR'],['26'],['519'],['20.0'],['80'],['3']
Jermaine Burton,ALA,['WR'],['23'],['508'],['22.1'],['54'],['5']
Joshua Cephus,UTSA,['WR'],['52'],['498'],['9.6'],['44'],['6']
Kobe Hudson,UCF,['WR'],['23'],['496'],['21.6'],['69'],['2']
Xzavier Henderson,CIN,['WR'],['38'],['496'],['13.1'],['49'],['3']
Lawrence Keys III,TULN,['WR'],['27'],['494'],['18.3'],['57'],['6']
Lideatrick Griffin,MSST,['WR'],['32'],['494'],['15.4'],['65'],['3']
Cyrus Allen,LT,['WR'],['29'],['487'],['16.8'],['85'],['2']
Brenden Rice,USC,['WR'],['28'],['486'],['17.4'],['75'],['8']
Elijah Metcalf,MTSU,['WR'],['40'],['483'],['12.1'],['71'],['5']
Tailique Williams,GAST,['WR'],['27'],['478'],['17.7'],['78'],['3']
Micah Davis,USU,['WR'],['25'],['478'],['19.1'],['76'],['5']
Holden Willis,MTSU,['WR'],['31'],['473'],['15.3'],['60'],['2']
Elijhah Badger,ASU,['WR'],['41'],['472'],['11.5'],['65'],['2']
Keon Coleman,FSU,['WR'],['31'],['472'],['15.2'],['58'],['7']
Tre Harris,MISS,['WR'],['21'],['469'],['22.3'],['56'],['6']
Jacolby George,MIA,['WR'],['31'],['467'],['15.1'],['64'],['5']
Derwin Burgess Jr.,GASO,['WR'],['44'],['466'],['10.6'],['68'],['4']
Naiem Simmons,USF,['WR'],['28'],['457'],['16.3'],['53'],['3']
Silas Bolden,ORST,['WR'],['32'],['456'],['14.3'],['50'],['4']
Jabre Barber,TROY,['WR'],['29'],['455'],['15.7'],['52'],['2']
Elijah Sarratt,JMU,['WR'],['31'],['455'],['14.7'],['48'],['3']
KeAndre Lambert-Smith,PSU,['WR'],['37'],['454'],['12.3'],['72'],['3']
Monaray Baldwin,BAY,['WR'],['24'],['453'],['18.9'],['71'],['2']
Ainias Smith,TA&M,['WR'],['27'],['451'],['16.7'],['37'],['0']
Evan Stewart,TA&M,['WR'],['31'],['451'],['14.5'],['44'],['4']
Chrishon McCray,KENT,['WR'],['35'],['449'],['12.8'],['42'],['2']
Roman Wilson,MICH,['WR'],['27'],['446'],['16.5'],['47'],['10']
Anthony Gould,ORST,['WR'],['27'],['443'],['16.4'],['75'],['2']
Sam Wiglusz,OHIO,['WR'],['39'],['440'],['11.3'],['38'],['3']
Theo Wease Jr.,MIZ,['WR'],['36'],['440'],['12.2'],['29'],['5']
Jalil Farooq,OU,['WR'],['23'],['438'],['19.0'],['49'],['2']
Kenneth Womack,WMU,['WR'],['49'],['438'],['8.9'],['34'],['1']
Jayden Higgins,ISU,['WR'],['23'],['438'],['19.0'],['75'],['3']
Jimmy Horn Jr.,COLO,['WR'],['44'],['436'],['9.9'],['45'],['4']
Joseph Manjack IV,HOU,['WR'],['35'],['435'],['12.4'],['49'],['4']
Jahmal Banks,WAKE,['WR'],['38'],['433'],['11.4'],['33'],['3']
Josh Kelly,WSU,['WR'],['32'],['433'],['13.5'],['44'],['5']
Malachi Fields,UVA,['WR'],['32'],['431'],['13.5'],['39'],['2']
Chase Roberts,BYU,['WR'],['29'],['430'],['14.8'],['59'],['4']
Kaedin Robinson,APP,['WR'],['32'],['430'],['13.4'],['34'],['4']
Tejhaun Palmer,UAB,['WR'],['27'],['430'],['15.9'],['61'],['4']
Cade Stover,OSU,['TE'],['27'],['429'],['15.9'],['49'],['3']
Andrel Anthony,OU,['WR'],['27'],['429'],['15.9'],['55'],['1']
Lewis Bond,BC,['WR'],['29'],['428'],['14.8'],['42'],['5']
Jacob Cowing,ARIZ,['WR'],['55'],['425'],['7.7'],['30'],['8']
Bryce Kirtz,NU,['WR'],['27'],['423'],['15.7'],['80'],['3']
JP Richardson,TCU,['WR'],['30'],['420'],['14.0'],['59'],['2']
Jeshaun Jones,MD,['WR'],['27'],['418'],['15.5'],['64'],['2']
Deion Burks,PUR,['WR'],['27'],['418'],['15.5'],['84'],['5']
J.J. Jones,UNC,['WR'],['25'],['417'],['16.7'],['57'],['0']
Nick Nash,SJSU,['WR'],['31'],['416'],['13.4'],['58'],['5']
Squirrel White,TENN,['WR'],['39'],['416'],['10.7'],['50'],['1']
Johnny Wilson,FSU,['WR'],['25'],['415'],['16.6'],['44'],['2']
Treon Sibley,LIB,['WR'],['17'],['412'],['24.2'],['68'],['4']
Jared Brown,CCU,['WR'],['33'],['411'],['12.5'],['51'],['1']
Kevin Concepcion,NCSU,['WR'],['37'],['410'],['11.1'],['48'],['4']
J. Michael Sturdivant,UCLA,['WR'],['23'],['407'],['17.7'],['62'],['3']
Dayton Wade,MISS,['WR'],['28'],['402'],['14.4'],['43'],['2']
Noah Smith,SHSU,['WR'],['47'],['399'],['8.5'],['25'],['4']
Will Pauling,WIS,['WR'],['37'],['398'],['10.8'],['32'],['1']
Junior Vandeross III,TOL,['WR'],['28'],['398'],['14.2'],['68'],['1']
Amad Anderson Jr.,TEM,['WR'],['28'],['397'],['14.2'],['46'],['1']
Ashton Jeanty,BOIS,['RB'],['30'],['396'],['13.2'],['50'],['4']
Justin Olson,MTSU,['WR'],['35'],['395'],['11.3'],['42'],['1']
Ashtyn Hawkins,TXST,['WR'],['31'],['395'],['12.7'],['43'],['1']
Colbie Young,MIA,['WR'],['29'],['394'],['13.6'],['57'],['4']
Tyler Brown,CLEM,['WR'],['29'],['391'],['13.5'],['47'],['2']
Jalen Moss,FRES,['WR'],['36'],['390'],['10.8'],['50'],['4']
Jonathan Brady,NMSU,['WR'],['23'],['388'],['16.9'],['80'],['3']
Daniel Jackson,MINN,['WR'],['29'],['387'],['13.3'],['39'],['5']
Nic Anderson,OU,['WR'],['16'],['387'],['24.2'],['52'],['8']
Jeremiah Ballard,UTEP,['WR'],['23'],['386'],['16.8'],['50'],['1']
Nate McCollum,UNC,['WR'],['33'],['385'],['11.7'],['48'],['1']
Cornelius Johnson,MICH,['WR'],['22'],['383'],['17.4'],['50'],['1']
Matthew Golden,HOU,['WR'],['34'],['383'],['11.3'],['39'],['6']
Jalon Calhoun,DUKE,['WR'],['25'],['379'],['15.2'],['69'],['2']
Jerjuan Newton,TOL,['WR'],['29'],['379'],['13.1'],['42'],['9']
Courtney Jackson,ARST,['WR'],['20'],['379'],['19.0'],['60'],['5']
Jesse Prewitt III,CMU,['WR'],['26'],['379'],['14.6'],['70'],['4']
Justus Ross-Simmons,CSU,['WR'],['24'],['377'],['15.7'],['75'],['2']
Jaelen Gill,FRES,['WR'],['34'],['374'],['11.0'],['65'],['5']
Kaden Prather,MD,['WR'],['27'],['373'],['13.8'],['43'],['5']
Jamaal Pritchett,USA,['WR'],['24'],['373'],['15.5'],['50'],['1']
Kole Wilson,TXST,['WR'],['30'],['373'],['12.4'],['77'],['4']
Beaux Collins,CLEM,['WR'],['26'],['368'],['14.2'],['69'],['2']
Adonai Mitchell,TEX,['WR'],['26'],['368'],['14.2'],['39'],['5']
Tez Johnson,ORE,['WR'],['28'],['368'],['13.1'],['49'],['4']
Ketron Jackson Jr.,BAY,['WR'],['20'],['365'],['18.3'],['55'],['0']
Jayden McGowan,VAN,['WR'],['31'],['365'],['11.8'],['50'],['0']
Colston Loveland,MICH,['TE'],['23'],['364'],['15.8'],['54'],['4']
Chris Lewis,TROY,['WR'],['15'],['364'],['24.3'],['64'],['4']
Demeer Blankumsee,MEM,['WR'],['26'],['363'],['14.0'],['59'],['3']
Tyrone Howell,ULM,['WR'],['32'],['361'],['11.3'],['37'],['6']
Isaiah Bond,ALA,['WR'],['23'],['360'],['15.7'],['52'],['3']
Mookie Cooper,MIZ,['WR'],['28'],['359'],['12.8'],['41'],['0']
Ben Sinnott,KSU,['TE'],['26'],['358'],['13.8'],['42'],['3']
Mitchell Evans,ND,['TE'],['24'],['356'],['14.8'],['36'],['1']
Chris Tyree,ND,['WR'],['16'],['355'],['22.2'],['76'],['3']
Eric Singleton Jr.,GT,['WR'],['20'],['355'],['17.8'],['53'],['5']
Phillip Brooks,KSU,['WR'],['34'],['354'],['10.4'],['39'],['2']
Amare Thomas,UAB,['WR'],['38'],['354'],['9.3'],['49'],['2']
Travis Hunter,COLO,['CB'],['29'],['353'],['12.2'],['43'],['2']
Perry Carter,JVST,['WR'],['20'],['352'],['17.6'],['63'],['2']
Tai Felton,MD,['WR'],['25'],['350'],['14.0'],['46'],['3']
London Humphreys,VAN,['WR'],['14'],['350'],['25.0'],['56'],['4']
Tykee Ogle-Kellogg,UTSA,['WR'],['19'],['349'],['18.4'],['46'],['4']
Jaden Bray,OKST,['WR'],['27'],['349'],['12.9'],['45'],['1']
Jordan Moore,DUKE,['WR'],['27'],['348'],['12.9'],['49'],['3']
Konata Mumpfield,PITT,['WR'],['30'],['347'],['11.6'],['41'],['3']
Umari Hatcher,SYR,['WR'],['21'],['346'],['16.5'],['48'],['2']
Jaylin Lane,VT,['WR'],['21'],['341'],['16.2'],['75'],['5']
Cam Johnson,NU,['WR'],['29'],['339'],['11.7'],['43'],['1']
Tayvion Robinson,UK,['WR'],['23'],['338'],['14.7'],['56'],['3']
Taylor Morin,WAKE,['WR'],['27'],['338'],['12.5'],['48'],['2']
Miles Cross,OHIO,['WR'],['26'],['338'],['13.0'],['32'],['4']
Kelby Williams,ODU,['WR'],['14'],['338'],['24.1'],['78'],['1']
Easton Messer,WKU,['WR'],['27'],['335'],['12.4'],['35'],['3']
Jakarius Caston,USM,['WR'],['21'],['334'],['15.9'],['39'],['3']
Marcus Rosemy-Jacksaint,UGA,['WR'],['18'],['333'],['18.5'],['50'],['2']
Jeremiah Hunter,CAL,['WR'],['30'],['333'],['11.1'],['50'],['4']
Malik Rutherford,GT,['WR'],['28'],['333'],['11.9'],['55'],['1']
Chris Brazzell II,TULN,['WR'],['18'],['332'],['18.4'],['39'],['2']
Myles Price,TTU,['WR'],['33'],['331'],['10.0'],['33'],['4']
Braden Smith,CIN,['WR'],['25'],['331'],['13.2'],['48'],['3']
Latreal Jones,USM,['WR'],['24'],['331'],['13.8'],['43'],['1']
Roderic Burns,UNT,['WR'],['31'],['329'],['10.6'],['42'],['1']
Jha'Quan Jackson,TULN,['WR'],['19'],['329'],['17.3'],['48'],['4']
Abdur-Rahmaan Yaseen,PUR,['WR'],['25'],['329'],['13.2'],['30'],['0']
Bub Means,PITT,['WR'],['20'],['326'],['16.3'],['75'],['3']
Devin McCuin,UTSA,['WR'],['23'],['326'],['14.2'],['72'],['2']
Dean Connors,RICE,['RB'],['26'],['326'],['12.5'],['80'],['2']
Malik Phillips,SHSU,['WR'],['24'],['326'],['13.6'],['41'],['0']
Jacob De Jesus,UNLV,['WR'],['30'],['326'],['10.9'],['48'],['2']
Joe Wilkins Jr.,M-OH,['WR'],['23'],['325'],['14.1'],['49'],['1']
Lawrence Arnold,KU,['WR'],['25'],['324'],['13.0'],['52'],['1']
Devontez Walker,UNC,['WR'],['23'],['321'],['14.0'],['56'],['4']
Ja'Tavion Sanders,TEX,['TE'],['16'],['320'],['20.0'],['50'],['1']
Jerand Bradley,TTU,['WR'],['30'],['319'],['10.6'],['34'],['4']
Kacper Rutkiewicz,NIU,['WR'],['21'],['319'],['15.2'],['64'],['2']
Pat Bryant,ILL,['WR'],['24'],['319'],['13.3'],['46'],['5']
Damien Alford,SYR,['WR'],['20'],['319'],['15.9'],['35'],['1']
Justin Joly,CONN,['TE'],['26'],['319'],['12.3'],['59'],['1']
Trent Hudson,NMSU,['WR'],['16'],['319'],['19.9'],['78'],['6']
Drake Stoops,OU,['WR'],['36'],['318'],['8.8'],['28'],['5']
Cameron Ross,CONN,['WR'],['28'],['317'],['11.3'],['41'],['1']
Xavier White,TTU,['WR'],['22'],['317'],['14.4'],['72'],['1']
Isaac Rex,BYU,['TE'],['23'],['316'],['13.7'],['65'],['1']
Devan Williams,TLSA,['WR'],['22'],['315'],['14.3'],['42'],['2']
Brett Buckman,CONN,['WR'],['29'],['313'],['10.8'],['40'],['1']
Jared Roznos,AFA,['WR'],['10'],['313'],['31.3'],['84'],['2']
Devin Carter,WVU,['WR'],['17'],['311'],['18.3'],['49'],['1']
Jalen McMillan,WASH,['WR'],['20'],['311'],['15.6'],['39'],['3']
Logan Loya,UCLA,['WR'],['27'],['310'],['11.5'],['27'],['3']
Gavin Bartholomew,PITT,['TE'],['17'],['310'],['18.2'],['60'],['1']
Qian Magwood,BALL,['WR'],['34'],['309'],['9.1'],['32'],['1']
Dean Patterson,FIU,['WR'],['19'],['309'],['16.3'],['40'],['0']
TJ Sheffield,PUR,['WR'],['26'],['308'],['11.8'],['43'],['1']
Kyren Lacy,LSU,['WR'],['16'],['308'],['19.3'],['57'],['3']
Jaylin Noel,ISU,['WR'],['34'],['308'],['9.1'],['51'],['2']
Deshon Stoudemire,TROY,['WR'],['23'],['308'],['13.4'],['51'],['0']
David Martin-Robinson,TEM,['TE'],['25'],['305'],['12.2'],['33'],['2']
Tanner Knue,EMU,['WR'],['32'],['305'],['9.5'],['34'],['3']
Taj Davis,CAL,['WR'],['27'],['303'],['11.2'],['27'],['3']
Emeka Egbuka,OSU,['WR'],['22'],['303'],['13.8'],['28'],['3']
Ramel Keyton,TENN,['WR'],['19'],['301'],['15.8'],['48'],['3']
Erick All,IOWA,['TE'],['21'],['299'],['14.2'],['34'],['3']
Wesley Grimes,WAKE,['WR'],['16'],['299'],['18.7'],['49'],['2']
Daniel George,AKR,['WR'],['31'],['298'],['9.6'],['50'],['0']
Marlyn Johnson,BUFF,['WR'],['29'],['298'],['10.3'],['36'],['4']
Donovan Brown,SYR,['WR'],['22'],['298'],['13.5'],['86'],['1']
Hudson Clement,WVU,['WR'],['12'],['298'],['24.8'],['70'],['4']
Louis Brown IV,CSU,['WR'],['30'],['297'],['9.9'],['46'],['2']
Chase Sowell,ECU,['WR'],['25'],['295'],['11.8'],['45'],['0']
Jake Bailey,SMU,['WR'],['26'],['294'],['11.3'],['33'],['0']
Christian Dremel,RUTG,['WR'],['23'],['294'],['12.8'],['69'],['3']
Jaheim Bell,FSU,['TE'],['22'],['291'],['13.2'],['44'],['2']
Christan Horn,APP,['WR'],['19'],['291'],['15.3'],['52'],['3']
Tanner McLachlan,ARIZ,['TE'],['23'],['290'],['12.6'],['36'],['2']
JaQuae Jackson,RUTG,['WR'],['17'],['290'],['17.1'],['61'],['0']
Robert Williams,UL,['WR'],['22'],['289'],['13.1'],['60'],['3']
Jonah Coleman,ARIZ,['RB'],['20'],['289'],['14.4'],['69'],['1']
Jeff Foreman,ARST,['WR'],['12'],['288'],['24.0'],['42'],['3']
Montorie Foster Jr.,MSU,['WR'],['25'],['287'],['11.5'],['30'],['1']
George Johnson III,MASS,['WR'],['22'],['286'],['13.0'],['32'],['2']
Cam Camper,IU,['WR'],['17'],['285'],['16.8'],['41'],['1']
Corey Rucker,ARST,['WR'],['16'],['283'],['17.7'],['68'],['0']
Marquis Shoulders,TLSA,['WR'],['16'],['283'],['17.7'],['80'],['5']
Jack Hestera,CLT,['WR'],['22'],['283'],['12.9'],['37'],['2']
Chimere Dike,WIS,['WR'],['16'],['282'],['17.6'],['41'],['1']
Kobe Paysour,UNC,['WR'],['22'],['282'],['12.8'],['77'],['3']
Dominic Lovett,UGA,['WR'],['31'],['282'],['9.1'],['33'],['1']
Dane Key,UK,['WR'],['17'],['282'],['16.6'],['44'],['2']
Mark Pope,MASS,['WR'],['22'],['281'],['12.8'],['54'],['1']
Rawson MacNeill,RICE,['WR'],['21'],['281'],['13.4'],['38'],['2']
Jasaiah Gathings,AKR,['WR'],['27'],['280'],['10.4'],['39'],['0']
Brennan Presley,OKST,['WR'],['36'],['279'],['7.8'],['29'],['4']
Barion Brown,UK,['WR'],['23'],['276'],['12.0'],['55'],['1']
Tony Johnson,FAU,['WR'],['25'],['275'],['11.0'],['72'],['3']
Cade McDonald,M-OH,['WR'],['20'],['274'],['13.7'],['42'],['2']
Khafre Brown,USF,['WR'],['15'],['273'],['18.2'],['84'],['2']
Savion Williams,TCU,['WR'],['21'],['273'],['13.0'],['31'],['3']
Bryson Nesbit,UNC,['TE'],['20'],['273'],['13.6'],['62'],['3']
Darius Lassiter,BYU,['WR'],['23'],['272'],['11.8'],['42'],['4']
Michael Brown-Stephens,USF,['WR'],['21'],['271'],['12.9'],['38'],['2']
Casey Washington,ILL,['WR'],['25'],['271'],['10.8'],['33'],['0']
Dante Wright,TEM,['WR'],['22'],['271'],['12.3'],['36'],['1']
Jermaine Brown Jr.,UAB,['RB'],['26'],['271'],['10.4'],['55'],['0']
Jordan Kerley,SMU,['WR'],['14'],['270'],['19.3'],['59'],['2']
Chris Parker,CMU,['WR'],['17'],['270'],['15.9'],['56'],['2']
Kamdyn Benjamin,TLSA,['WR'],['16'],['270'],['16.9'],['40'],['1']
Cameron Skattebo,ASU,['RB'],['19'],['270'],['14.2'],['66'],['1']
Marquis Johnson,MIZ,['WR'],['9'],['268'],['29.8'],['76'],['3']
Jordan Whittington,TEX,['WR'],['24'],['267'],['11.1'],['31'],['0']
Darrell Harding Jr.,BUFF,['WR'],['17'],['266'],['15.6'],['51'],['3']
Isaiah Alston,ARMY,['WR'],['9'],['266'],['29.6'],['70'],['2']
Rashod Owens,OKST,['WR'],['24'],['264'],['11.0'],['45'],['1']
Quentin Skinner,KU,['WR'],['14'],['264'],['18.9'],['49'],['2']
Mac Dalena,FRES,['WR'],['23'],['261'],['11.3'],['33'],['1']
Hamze El-Zayat,EMU,['WR'],['17'],['260'],['15.3'],['50'],['2']
Jordan Hudson,SMU,['WR'],['17'],['260'],['15.3'],['67'],['4']
Mario Williams,USC,['WR'],['24'],['259'],['10.8'],['29'],['1']
Trell Harris,KENT,['WR'],['15'],['257'],['17.1'],['43'],['1']
Mark Redman,SDSU,['TE'],['23'],['256'],['11.1'],['29'],['2']
Rara Thomas,UGA,['WR'],['16'],['256'],['16.0'],['56'],['1']
Mason Fairchild,KU,['TE'],['18'],['255'],['14.2'],['44'],['2']
Corey Dyches,MD,['TE'],['23'],['255'],['11.1'],['44'],['1']
Grayson Barnes,NIU,['WR'],['14'],['255'],['18.2'],['58'],['2']
Cole Harrity,BUFF,['WR'],['29'],['253'],['8.7'],['29'],['2']
Luke Hasz,ARK,['TE'],['16'],['253'],['15.8'],['59'],['3']
Jake Briningstool,CLEM,['TE'],['23'],['251'],['10.9'],['50'],['3']
Tyson Davis,CMU,['WR'],['20'],['251'],['12.6'],['31'],['2']
Eugene Wilson III,FLA,['WR'],['26'],['251'],['9.7'],['30'],['1']
Damon Ward,UNT,['WR'],['19'],['250'],['13.2'],['59'],['4']
Drake Dabney,BAY,['TE'],['17'],['250'],['14.7'],['53'],['3']
Wyatt Wieland,WYO,['WR'],['26'],['250'],['9.6'],['29'],['4']
Jamaal Bell,NEV,['WR'],['27'],['250'],['9.3'],['77'],['1']
Dalevon Campbell,NEV,['WR'],['13'],['249'],['19.2'],['53'],['1']
Mekhi Shaw,SDSU,['WR'],['17'],['249'],['14.6'],['69'],['2']
Blake Watson,MEM,['RB'],['29'],['248'],['8.6'],['23'],['1']
Dominick Mazotti,SJSU,['TE'],['17'],['248'],['14.6'],['44'],['1']
Dominick Blaylock,GT,['WR'],['16'],['247'],['15.4'],['34'],['1']
Ke'Shawn Williams,WAKE,['WR'],['24'],['247'],['10.3'],['34'],['1']
Tanner Koziol,BALL,['TE'],['29'],['247'],['8.5'],['26'],['2']
Warren Thompson,TCU,['WR'],['19'],['246'],['12.9'],['33'],['2']
Trey Knox,SC,['TE'],['30'],['246'],['8.2'],['20'],['2']
Luke Grimm,KU,['WR'],['18'],['244'],['13.6'],['48'],['3']
Jacob Bernard,UL,['WR'],['19'],['241'],['12.7'],['43'],['0']
Caleb Medford,UNM,['WR'],['13'],['241'],['18.5'],['55'],['1']
Christian Leary,GT,['WR'],['17'],['241'],['14.2'],['44'],['2']
Jay Fair,AUB,['WR'],['22'],['241'],['11.0'],['36'],['2']
Benjamin Yurosek,STAN,['TE'],['16'],['239'],['14.9'],['32'],['1']
Tre Mosley,MSU,['WR'],['25'],['237'],['9.5'],['26'],['2']
Jaylen Johnson,ECU,['WR'],['25'],['236'],['9.4'],['39'],['0']
Kole Taylor,WVU,['TE'],['20'],['236'],['11.8'],['29'],['2']
Kyle Maxwell,LT,['WR'],['12'],['236'],['19.7'],['47'],['2']
Jameson Tucker,CCU,['WR'],['11'],['236'],['21.5'],['51'],['2']
Ryan O'Keefe,BC,['WR'],['23'],['235'],['10.2'],['38'],['1']
Austin Hence,WMU,['TE'],['22'],['235'],['10.7'],['32'],['2']
Dalvin Smith,WKU,['WR'],['25'],['234'],['9.4'],['42'],['2']
Brionne Penny,SDSU,['WR'],['20'],['233'],['11.6'],['36'],['0']
Dashaun Davis,APP,['WR'],['19'],['232'],['12.2'],['34'],['2']
Terrance Ferguson,ORE,['TE'],['23'],['232'],['10.1'],['33'],['1']
Da'Quan Felton,VT,['WR'],['17'],['232'],['13.6'],['54'],['2']
Eric Rivers,FIU,['WR'],['18'],['232'],['12.9'],['48'],['0']
Reymello Murphy,ODU,['WR'],['10'],['232'],['23.2'],['61'],['2']
Germie Bernard,WASH,['WR'],['17'],['231'],['13.6'],['36'],['1']
Lorenzo Lingard,AKR,['RB'],['22'],['230'],['10.5'],['77'],['1']
Jalen Bracey,FIU,['WR'],['20'],['230'],['11.5'],['45'],['1']
Boden Groen,RICE,['TE'],['22'],['230'],['10.5'],['31'],['0']
Jayden Thomas,ND,['WR'],['15'],['228'],['15.2'],['39'],['1']
Marion Lukes,CMU,['RB'],['23'],['228'],['9.9'],['23'],['0']
Gary Bryant Jr.,ORE,['WR'],['18'],['227'],['12.6'],['31'],['2']
Corey Crooms Jr.,MINN,['WR'],['19'],['227'],['11.9'],['27'],['0']
Jaron Glover,MSU,['WR'],['12'],['227'],['18.9'],['33'],['0']
Devonte Ross,TROY,['WR'],['20'],['227'],['11.4'],['38'],['2']
Baylin Brooks,SDSU,['WR'],['13'],['227'],['17.5'],['37'],['1']
Odieu Hiliare,BGSU,['WR'],['21'],['226'],['10.8'],['32'],['2']
Xavier Guillory,ASU,['WR'],['21'],['226'],['10.8'],['47'],['1']
Ahmad Edwards,BALL,['WR'],['17'],['225'],['13.2'],['57'],['1']
Javon Harvey,ODU,['WR'],['6'],['225'],['37.5'],['68'],['1']
Ta'ron Keith,BGSU,['RB'],['24'],['224'],['9.3'],['58'],['1']
Donaven McCulley,IU,['WR'],['20'],['224'],['11.2'],['24'],['1']
Stephen Gosnell,VT,['WR'],['16'],['223'],['13.9'],['39'],['0']
Jack Velling,ORST,['TE'],['16'],['223'],['13.9'],['41'],['7']
Chris Bell,LOU,['WR'],['11'],['223'],['20.3'],['48'],['2']
Noah Short,ARMY,['WR'],['15'],['223'],['14.9'],['80'],['2']
Anthony Queeley,GASO,['WR'],['22'],['222'],['10.1'],['18'],['3']
Bucky Irving,ORE,['RB'],['27'],['222'],['8.2'],['42'],['1']
Hal Presley,BAY,['WR'],['17'],['222'],['13.1'],['47'],['0']
Trond Grizzell,CAL,['WR'],['16'],['221'],['13.8'],['38'],['2']
Dalen Cobb,GASO,['WR'],['21'],['221'],['10.5'],['27'],['0']
Jeremiah Hixon,UNM,['WR'],['22'],['220'],['10.0'],['28'],['4']
Jalin Conyers,ASU,['TE'],['20'],['220'],['11.0'],['43'],['0']
RJ Maryland,SMU,['TE'],['21'],['220'],['10.5'],['43'],['4']
Tiger Bachmeier,STAN,['WR'],['20'],['220'],['11.0'],['35'],['1']
Jsi Hatfield,ECU,['WR'],['17'],['219'],['12.9'],['39'],['0']
Bryson Green,WIS,['WR'],['17'],['218'],['12.8'],['42'],['0']
