Player,School,POS,ATT,YDS,AVG,LNG,TD
Sieh Bangura,OHIO,['RB'],['108'],['448'],['4.1'],['22'],['3']
Jalon Jones,CLT,['QB'],['91'],['447'],['4.9'],['58'],['4']
Zeon Chriss,UL,['QB'],['57'],['446'],['7.8'],['80'],['5']
Kaelon Black,JMU,['RB'],['100'],['443'],['4.4'],['57'],['1']
Montrell Johnson Jr.,FLA,['RB'],['85'],['438'],['5.2'],['34'],['4']
LJ Martin,BYU,['RB'],['96'],['438'],['4.6'],['55'],['4']
Daniel Hishaw Jr.,KU,['RB'],['68'],['437'],['6.4'],['29'],['6']
Shomari Lawrence,FIU,['RB'],['84'],['435'],['5.2'],['67'],['4']
Frank Gore Jr.,USM,['RB'],['115'],['434'],['3.8'],['29'],['4']
Jonah Coleman,ARIZ,['RB'],['65'],['433'],['6.7'],['59'],['3']
Malik Sherrod,FRES,['RB'],['71'],['432'],['6.1'],['72'],['5']
Treshaun Ward,KSU,['RB'],['77'],['426'],['5.5'],['20'],['2']
Quali Conley,SJSU,['RB'],['61'],['426'],['7.0'],['68'],['6']
Heinrich Haarberg,NEB,['QB'],['85'],['424'],['5.0'],['72'],['4']
Jaylan Knighton,SMU,['RB'],['77'],['422'],['5.5'],['95'],['3']
Rashad Amos,M-OH,['RB'],['98'],['421'],['4.3'],['25'],['4']
Roman Hemby,MD,['RB'],['84'],['414'],['4.9'],['40'],['4']
Cameron Skattebo,ASU,['RB'],['104'],['413'],['4.0'],['18'],['6']
Bryson Daily,ARMY,['QB'],['100'],['412'],['4.1'],['23'],['3']
Jermaine Brown Jr.,UAB,['RB'],['83'],['410'],['4.9'],['40'],['9']
Nicholas Singleton,PSU,['RB'],['98'],['410'],['4.2'],['20'],['6']
Star Thomas,NMSU,['RB'],['77'],['409'],['5.3'],['40'],['4']
Emory Jones,CIN,['QB'],['102'],['408'],['4.0'],['20'],['3']
Trevor Etienne,FLA,['RB'],['69'],['407'],['5.9'],['62'],['3']
Victor Rosa,CONN,['RB'],['78'],['405'],['5.2'],['71'],['2']
Kaytron Allen,PSU,['RB'],['87'],['401'],['4.6'],['18'],['3']
Jalen Mayden,SDSU,['QB'],['87'],['400'],['4.6'],['56'],['3']
Samson Evans,EMU,['RB'],['93'],['399'],['4.3'],['61'],['6']
Anthony Watkins,TLSA,['RB'],['104'],['396'],['3.8'],['27'],['2']
Mario Anderson,SC,['RB'],['76'],['396'],['5.2'],['75'],['2']
Ja'Quez Cross,ARST,['RB'],['61'],['394'],['6.5'],['66'],['3']
Jaquez Moore,DUKE,['RB'],['69'],['390'],['5.7'],['42'],['3']
Lorenzo Lingard,AKR,['RB'],['78'],['388'],['5.0'],['71'],['2']
Vincent Davis Jr.,UNLV,['RB'],['69'],['388'],['5.6'],['69'],['2']
TJ Harden,UCLA,['RB'],['68'],['388'],['5.7'],['62'],['4']
Le'Veon Moss,TA&M,['RB'],['77'],['387'],['5.0'],['36'],['3']
Jabari Small,TENN,['RB'],['73'],['383'],['5.2'],['40'],['2']
Kye Robichaux,BC,['RB'],['76'],['383'],['5.0'],['57'],['4']
Deshaun Fenwick,ORST,['RB'],['67'],['382'],['5.7'],['38'],['4']
Donald Chaney Jr.,MIA,['RB'],['73'],['375'],['5.1'],['26'],['2']
Gavin Garcia,KENT,['RB'],['96'],['374'],['3.9'],['42'],['2']
Haynes King,GT,['QB'],['61'],['372'],['6.1'],['71'],['3']
Ron Cook Jr.,BUFF,['RB'],['90'],['372'],['4.1'],['32'],['5']
Jaylon Jackson,EMU,['RB'],['77'],['371'],['4.8'],['55'],['1']
Rahsul Faison,USU,['RB'],['52'],['370'],['7.1'],['60'],['3']
Rodrigues Clark,USM,['RB'],['55'],['369'],['6.7'],['59'],['2']
Darren Grainger,GAST,['QB'],['79'],['368'],['4.7'],['65'],['5']
Jaiden Credle,MTSU,['RB'],['71'],['366'],['5.2'],['71'],['2']
Keshawn Wicks,ODU,['RB'],['69'],['362'],['5.2'],['27'],['4']
Gavin Wimsatt,RUTG,['QB'],['73'],['362'],['5.0'],['80'],['7']
Billy Lucas,LIB,['RB'],['66'],['360'],['5.5'],['20'],['3']
Myles Bailey,CMU,['RB'],['87'],['360'],['4.1'],['24'],['3']
Bhayshul Tuten,VT,['RB'],['92'],['360'],['3.9'],['49'],['3']
Robert Henry,UTSA,['RB'],['53'],['359'],['6.8'],['43'],['5']
Garrett Shrader,SYR,['QB'],['78'],['358'],['4.6'],['39'],['6']
Isaiah Ifanse,CAL,['RB'],['65'],['357'],['5.5'],['26'],['7']
Kejon Owens,FIU,['RB'],['54'],['357'],['6.6'],['47'],['5']
Phil Mafah,CLEM,['RB'],['57'],['355'],['6.2'],['49'],['4']
Brendon Lewis,NEV,['QB'],['84'],['351'],['4.2'],['31'],['3']
