Player,School,POS,ATT,YDS,AVG,LNG,TD
Chandler Rogers,UNT,['QB'],['58'],['153'],['2.6'],['75'],['3']
Nate Johnson,UTAH,['QB'],['56'],['153'],['2.7'],['27'],['3']
Andrew Henry,UNM,['RB'],['19'],['153'],['8.1'],['33'],['1']
Anthony Adkins,UCLA,['RB'],['23'],['151'],['6.6'],['38'],['1']
Max Balthazar,CCU,['RB'],['25'],['151'],['6.0'],['34'],['2']
Xavier Townsend,UCF,['WR'],['11'],['150'],['13.6'],['39'],['0']
Jeremiah Cobb,AUB,['RB'],['23'],['150'],['6.5'],['42'],['1']
Tyler Shough,TTU,['QB'],['48'],['149'],['3.1'],['58'],['2']
Avery Morrow,CSU,['RB'],['54'],['149'],['2.8'],['11'],['1']
Kalel Mullings,MICH,['RB'],['23'],['147'],['6.4'],['23'],['1']
Will Nixon,WASH,['RB'],['22'],['147'],['6.7'],['21'],['1']
Noah Whittington,ORE,['RB'],['20'],['146'],['7.3'],['41'],['2']
Rodney Hill,FSU,['RB'],['30'],['146'],['4.9'],['19'],['1']
Treyaun Webb,FLA,['RB'],['22'],['146'],['6.6'],['43'],['2']
Keldric Moody,LT,['RB'],['33'],['146'],['4.4'],['24'],['0']
Davion Ervin-Poindexter,WKU,['RB'],['35'],['145'],['4.1'],['18'],['1']
Braylon Braxton,TLSA,['QB'],['21'],['145'],['6.9'],['46'],['0']
Caleb Williams,USC,['QB'],['61'],['143'],['2.3'],['46'],['7']
James Jointer Jr.,LIB,['RB'],['25'],['143'],['5.7'],['34'],['0']
Jalen Milroe,ALA,['QB'],['77'],['142'],['1.8'],['53'],['5']
Jayden Maiava,UNLV,['QB'],['31'],['142'],['4.6'],['24'],['1']
Seth Davis,MSST,['RB'],['25'],['142'],['5.7'],['25'],['1']
Tate Carney,WAKE,['RB'],['20'],['141'],['7.1'],['74'],['1']
Brett Gabbert,M-OH,['QB'],['49'],['140'],['2.9'],['26'],['2']
Xavier Williams,KENT,['RB'],['42'],['137'],['3.3'],['18'],['1']
JuTahn McClain,UK,['RB'],['25'],['137'],['5.5'],['36'],['1']
Jordan Brunson,M-OH,['RB'],['12'],['137'],['11.4'],['57'],['1']
Mike Hollins,UVA,['RB'],['49'],['136'],['2.8'],['13'],['5']
Ryan Montgomery,CIN,['RB'],['30'],['135'],['4.5'],['26'],['0']
Jacob Zeno,UAB,['QB'],['59'],['135'],['2.3'],['44'],['4']
Brady Cook,MIZ,['QB'],['59'],['134'],['2.3'],['25'],['5']
Rayshon Luke,ARIZ,['RB'],['24'],['134'],['5.6'],['40'],['1']
Keegan Shoemaker,SHSU,['QB'],['45'],['133'],['3.0'],['29'],['0']
Camden Orth,BGSU,['QB'],['38'],['133'],['3.5'],['18'],['2']
Mark Fletcher Jr.,MIA,['RB'],['24'],['133'],['5.5'],['26'],['1']
L.T. Sanders,WKU,['RB'],['23'],['133'],['5.8'],['56'],['0']
Quincy Patterson,TEM,['QB'],['41'],['132'],['3.2'],['24'],['4']
Sherod White,UNM,['RB'],['30'],['132'],['4.4'],['12'],['1']
Ta'ron Keith,BGSU,['RB'],['23'],['132'],['5.7'],['40'],['1']
Terry Wilkins,MTSU,['RB'],['15'],['131'],['8.7'],['75'],['1']
Damari Alston,AUB,['RB'],['26'],['131'],['5.0'],['13'],['1']
Cameron Ward,WSU,['QB'],['67'],['131'],['2.0'],['22'],['3']
Jayden de Laura,ARIZ,['QB'],['20'],['131'],['6.6'],['53'],['3']
Cam Fancher,MRSH,['QB'],['85'],['130'],['1.5'],['22'],['2']
Rueben Owens,TA&M,['RB'],['37'],['130'],['3.5'],['21'],['1']
Brendan Sorsby,IU,['QB'],['41'],['130'],['3.2'],['16'],['1']
Juwaun Price,SYR,['RB'],['40'],['129'],['3.2'],['22'],['0']
Jared Brown,CCU,['WR'],['7'],['129'],['18.4'],['77'],['1']
Jaylen Anderson,WVU,['RB'],['41'],['129'],['3.1'],['15'],['1']
Jambres Dubar,BOIS,['RB'],['24'],['129'],['5.4'],['24'],['0']
Arnold Barnes III,TULN,['RB'],['20'],['129'],['6.4'],['65'],['0']
Drake Anderson,AKR,['RB'],['36'],['128'],['3.6'],['15'],['1']
Kobe Johnson,CSU,['RB'],['44'],['128'],['2.9'],['13'],['1']
Demie Sumo-Karngbaye,UK,['RB'],['13'],['125'],['9.6'],['42'],['1']
Trent Howland,IU,['RB'],['22'],['125'],['5.7'],['17'],['0']
Lee Beebe,UAB,['RB'],['28'],['125'],['4.5'],['25'],['1']
DJ Uiagalelei,ORST,['QB'],['36'],['124'],['3.4'],['26'],['5']
Bryson Barnes,UTAH,['QB'],['33'],['124'],['3.8'],['26'],['3']
Alex Broome,BC,['RB'],['28'],['124'],['4.4'],['33'],['0']
Quinten Joyner,USC,['RB'],['16'],['124'],['7.8'],['47'],['1']
Bryce Williams,MINN,['RB'],['36'],['123'],['3.4'],['8'],['1']
Greg Desrosiers Jr.,MASS,['RB'],['21'],['123'],['5.9'],['60'],['1']
Cardell Williams,TLSA,['QB'],['46'],['123'],['2.7'],['50'],['3']
Brandon Chatman,NAVY,['RB'],['29'],['123'],['4.2'],['20'],['0']
Dorian Lewis,UNM,['RB'],['24'],['123'],['5.1'],['23'],['0']
Jovantae Barnes,OU,['RB'],['28'],['122'],['4.4'],['17'],['1']
Landon Sims,HAW,['RB'],['27'],['122'],['4.5'],['22'],['1']
Jahmyl Jeter,TXST,['RB'],['27'],['121'],['4.5'],['22'],['4']
Keyon Mozee,M-OH,['RB'],['27'],['121'],['4.5'],['23'],['2']
Dylan Paine,WSU,['RB'],['20'],['121'],['6.1'],['52'],['1']
Preston Stone,SMU,['QB'],['40'],['118'],['3.0'],['21'],['2']
Emmett Johnson,NEB,['RB'],['23'],['117'],['5.1'],['24'],['0']
Cash Jones,UGA,['RB'],['15'],['117'],['7.8'],['57'],['1']
Shaadie Clayton-Johnson,TULN,['RB'],['28'],['116'],['4.1'],['17'],['0']
Kendrick Raphael,NCSU,['RB'],['23'],['116'],['5.0'],['21'],['0']
Tony Mathis Jr.,HOU,['RB'],['24'],['115'],['4.8'],['23'],['0']
Willie Shaw III,TOL,['RB'],['28'],['115'],['4.1'],['14'],['0']
Spencer Rattler,SC,['QB'],['63'],['114'],['1.8'],['28'],['2']
Zylan Perry,UL,['RB'],['34'],['113'],['3.3'],['17'],['1']
Jaydon Blue,TEX,['RB'],['23'],['112'],['4.9'],['19'],['0']
Jackson Acker,WIS,['RB'],['26'],['111'],['4.3'],['14'],['0']
Dillon Bell,UGA,['WR'],['21'],['111'],['5.3'],['21'],['2']
Aiden Calvert,AFA,['RB'],['12'],['111'],['9.3'],['22'],['0']
Austin Smith,EMU,['QB'],['74'],['109'],['1.5'],['41'],['1']
Elijah Collins,OKST,['RB'],['27'],['108'],['4.0'],['17'],['1']
Gavin Sawchuk,OU,['RB'],['28'],['108'],['3.9'],['30'],['2']
Dakereon Joyner,SC,['RB'],['44'],['107'],['2.4'],['16'],['4']
Trey Potts,PSU,['RB'],['20'],['107'],['5.3'],['20'],['2']
Parker Navarro,OHIO,['QB'],['10'],['107'],['10.7'],['52'],['0']
Cam Davis,SDSU,['RB'],['30'],['107'],['3.6'],['25'],['0']
Kaleb Jackson,LSU,['RB'],['20'],['107'],['5.3'],['21'],['2']
D.Q. James,WYO,['RB'],['35'],['106'],['3.0'],['15'],['0']
Jacob Fields,LT,['DB'],['23'],['106'],['4.6'],['30'],['2']
Jaziun Patterson,IOWA,['RB'],['24'],['106'],['4.4'],['59'],['1']
Bo Nix,ORE,['QB'],['28'],['105'],['3.8'],['16'],['2']
Damarius Good,TXST,['RB'],['11'],['105'],['9.5'],['24'],['0']
Sedrick Irvin,STAN,['RB'],['22'],['105'],['4.8'],['45'],['1']
Daniel Carter,PITT,['RB'],['23'],['104'],['4.5'],['22'],['2']
Mike Franklin,UTEP,['RB'],['24'],['104'],['4.3'],['9'],['1']
Gi'Bran Payne,ND,['RB'],['29'],['103'],['3.6'],['12'],['1']
Anthony Tyus III,NU,['RB'],['16'],['103'],['6.4'],['39'],['0']
Timmy McClain,UCF,['QB'],['39'],['102'],['2.6'],['22'],['1']
Ashton Hayes,NEV,['RB'],['30'],['102'],['3.4'],['35'],['0']
Eli Heidenreich,NAVY,['RB'],['12'],['101'],['8.4'],['46'],['1']
Dylan Hopkins,UNM,['QB'],['36'],['100'],['2.8'],['48'],['1']
Jadarian Price,ND,['RB'],['20'],['100'],['5.0'],['19'],['1']
John Emery Jr.,LSU,['RB'],['20'],['99'],['4.9'],['17'],['1']
Samuel Brown V,RUTG,['RB'],['30'],['99'],['3.3'],['11'],['2']
Ike Daniels,SYR,['RB'],['17'],['99'],['5.8'],['22'],['0']
Tommy Ulatowski,KENT,['QB'],['24'],['99'],['4.1'],['39'],['0']
Reese White,CCU,['RB'],['33'],['98'],['3.0'],['12'],['0']
Calvin Hill,TXST,['RB'],['31'],['98'],['3.2'],['13'],['0']
Martin Blake,SDSU,['RB'],['26'],['97'],['3.7'],['12'],['1']
Edward Saydee,TEM,['RB'],['37'],['96'],['2.6'],['8'],['0']
Isaac Jernagin,SJSU,['WR'],['9'],['96'],['10.7'],['45'],['0']
Jordan Houston,NCSU,['RB'],['25'],['96'],['3.8'],['15'],['0']
Jordan Younge-Humphrey,UNLV,['RB'],['12'],['96'],['8.0'],['32'],['1']
Rico Barfield,BALL,['RB'],['25'],['96'],['3.8'],['24'],['1']
Justin Lynch,NIU,['RB'],['11'],['96'],['8.7'],['30'],['1']
Sean Jackson,AUB,['RB'],['6'],['95'],['15.8'],['45'],['1']
Jaivian Thomas,CAL,['RB'],['12'],['95'],['7.9'],['27'],['1']
Frank Harris,UTSA,['QB'],['39'],['94'],['2.4'],['24'],['1']
Noah Cain,LSU,['RB'],['22'],['93'],['4.2'],['15'],['3']
Jalen Berger,MSU,['RB'],['25'],['93'],['3.7'],['12'],['1']
Cade Klubnik,CLEM,['QB'],['70'],['93'],['1.3'],['17'],['3']
Tylan Hines,HAW,['RB'],['27'],['93'],['3.4'],['18'],['0']
Kamari Moulton,IOWA,['RB'],['23'],['93'],['4.0'],['18'],['2']
Latrele Palmer,JMU,['RB'],['25'],['92'],['3.7'],['13'],['1']
Ashton Daniels,STAN,['QB'],['51'],['92'],['1.8'],['11'],['0']
CJ Hester,WMU,['RB'],['20'],['92'],['4.6'],['29'],['1']
Jason Bean,KU,['QB'],['27'],['91'],['3.4'],['27'],['0']
Austin Reed,WKU,['QB'],['29'],['91'],['3.1'],['26'],['3']
Josh Henderson,IU,['RB'],['22'],['91'],['4.1'],['20'],['2']
Brashard Smith,MIA,['WR'],['5'],['91'],['18.2'],['80'],['0']
Raheim Sanders,ARK,['RB'],['34'],['91'],['2.7'],['14'],['2']
Trey Holly,LSU,['RB'],['6'],['91'],['15.2'],['67'],['1']
Tybo Rogers,WASH,['RB'],['25'],['91'],['3.6'],['15'],['0']
Eli Stowers,NMSU,['QB'],['15'],['89'],['5.9'],['26'],['1']
Tahj Bullock,AKR,['QB'],['37'],['89'],['2.4'],['27'],['2']
Ay'Jaun Marshall,ARMY,['WR'],['6'],['89'],['14.8'],['36'],['0']
Roderick Robinson II,UGA,['RB'],['15'],['89'],['5.9'],['23'],['2']
Silas Bolden,ORST,['WR'],['5'],['87'],['17.4'],['45'],['1']
Harrison Barker,UAB,['QB'],['15'],['87'],['5.8'],['12'],['0']
Jamari Ferrell,WYO,['RB'],['24'],['87'],['3.6'],['17'],['1']
Caziah Holmes,FSU,['RB'],['9'],['85'],['9.4'],['40'],['1']
Anthony Simpson,MASS,['WR'],['10'],['85'],['8.5'],['17'],['1']
Jekail Middlebrook,MTSU,['RB'],['18'],['85'],['4.7'],['25'],['2']
Colson Yankoff,UCLA,['RB'],['13'],['83'],['6.4'],['25'],['1']
Taulia Tagovailoa,MD,['QB'],['33'],['83'],['2.5'],['23'],['4']
Jakobi Buchanan,ARMY,['RB'],['29'],['83'],['2.9'],['10'],['3']
Brendan Sullivan,NU,['QB'],['45'],['80'],['1.8'],['35'],['2']
Larry Robinson,ARMY,['QB'],['6'],['80'],['13.3'],['23'],['1']
Joshua Fleeks,NEB,['WR'],['5'],['79'],['15.8'],['74'],['1']
Mitch Griffis,WAKE,['QB'],['71'],['79'],['1.1'],['27'],['0']
Aaron Young,RUTG,['RB'],['12'],['79'],['6.6'],['16'],['1']
Aidan Robbins,BYU,['RB'],['26'],['78'],['3.0'],['13'],['0']
Nicco Marchiol,WVU,['QB'],['29'],['78'],['2.7'],['19'],['1']
Velton Gardner,SMU,['RB'],['19'],['76'],['4.0'],['23'],['0']
Keegan Jones,UCLA,['WR'],['6'],['76'],['12.7'],['22'],['2']
Athan Kaliakmanis,MINN,['QB'],['44'],['76'],['1.7'],['19'],['2']
Dallan Hayden,OSU,['RB'],['11'],['76'],['6.9'],['19'],['1']
Jayden McGowan,VAN,['WR'],['12'],['76'],['6.3'],['16'],['0']
Vaughn Blue,LIB,['RB'],['12'],['76'],['6.3'],['21'],['0']
Justin Johnson Jr.,WVU,['RB'],['16'],['75'],['4.7'],['30'],['1']
Jensen Jones,AFA,['QB'],['13'],['75'],['5.8'],['14'],['2']
Rocco Becht,ISU,['QB'],['32'],['75'],['2.3'],['14'],['2']
A.J. Henning,NU,['WR'],['14'],['74'],['5.3'],['17'],['1']
Cooper Legas,USU,['QB'],['47'],['74'],['1.6'],['11'],['0']
Jalon Daniels,KU,['QB'],['27'],['74'],['2.7'],['17'],['0']
Jaison Patterson,BGSU,['RB'],['23'],['74'],['3.2'],['20'],['0']
Nasjzae Bryant-Lelei,HAW,['RB'],['20'],['74'],['3.7'],['17'],['0']
CJ Ogbonna,BUFF,['QB'],['17'],['74'],['4.4'],['10'],['1']
Domonique Thomas,CLEM,['RB'],['11'],['74'],['6.7'],['19'],['1']
Ben Wooldridge,UL,['QB'],['17'],['73'],['4.3'],['24'],['2']
Keyone Jenkins,FIU,['QB'],['81'],['73'],['0.9'],['23'],['5']
Bennett Galloway,ULM,['RB'],['11'],['73'],['6.6'],['24'],['0']
Chris Johnson Jr.,MIA,['RB'],['11'],['73'],['6.6'],['24'],['1']
Terrence Williams,UL,['RB'],['23'],['72'],['3.1'],['11'],['1']
Zane Minors,SMU,['RB'],['16'],['72'],['4.5'],['10'],['0']
Chase Jenkins,RICE,['QB'],['7'],['72'],['10.3'],['28'],['1']
Lucky Sutton,SDSU,['RB'],['19'],['71'],['3.7'],['13'],['2']
Peyton Jones,DUKE,['RB'],['20'],['71'],['3.5'],['15'],['1']
Tank Smith,PSU,['RB'],['8'],['70'],['8.8'],['39'],['0']
Stone Earle,UNT,['QB'],['16'],['70'],['4.4'],['34'],['0']
Barion Brown,UK,['WR'],['6'],['70'],['11.7'],['26'],['0']
Henry Rutledge,CLT,['RB'],['7'],['70'],['10.0'],['20'],['0']
Asa Martin,TROY,['RB'],['17'],['69'],['4.1'],['16'],['0']
Benjamin Hall,MICH,['RB'],['15'],['69'],['4.6'],['19'],['0']
Nate Milanowski,M-OH,['RB'],['11'],['69'],['6.3'],['23'],['1']
Braxton Woodson,NAVY,['QB'],['35'],['69'],['2.0'],['22'],['0']
Xavier Johnson,OSU,['WR'],['12'],['68'],['5.7'],['15'],['0']
Hunter Herring,ULM,['QB'],['13'],['68'],['5.2'],['18'],['0']
Ari Broussard,RICE,['RB'],['20'],['67'],['3.3'],['16'],['0']
Brandon Buckhaulter,UAB,['WR'],['5'],['67'],['13.4'],['35'],['0']
Jarris Williams,TROY,['RB'],['13'],['67'],['5.2'],['25'],['1']
Jayden Limar,ORE,['RB'],['13'],['67'],['5.2'],['17'],['1']
Tyler Lavine,SMU,['RB'],['18'],['66'],['3.7'],['13'],['1']
Tyrell Robinson,ARMY,['RB'],['20'],['66'],['3.3'],['10'],['1']
Rahmir Johnson,NEB,['RB'],['12'],['65'],['5.4'],['44'],['0']
Treyson Bourguet,WMU,['QB'],['36'],['65'],['1.8'],['29'],['0']
Keyjuan Brown,LOU,['RB'],['11'],['65'],['5.9'],['14'],['1']
Ja'Vin Simpkins,CCU,['RB'],['8'],['65'],['8.1'],['22'],['1']
Miles Davis,BYU,['RB'],['14'],['64'],['4.6'],['11'],['0']
Nehemiah Martinez I,TTU,['WR'],['12'],['64'],['5.3'],['11'],['0']
Kenyon Clay,USM,['RB'],['13'],['64'],['4.9'],['15'],['0']
Jack Lausch,NU,['QB'],['13'],['64'],['4.9'],['46'],['1']
Noah Smith,SHSU,['WR'],['15'],['63'],['4.2'],['25'],['1']
Kevin Davis,M-OH,['RB'],['13'],['63'],['4.8'],['12'],['1']
Conner Weigman,TA&M,['QB'],['12'],['63'],['5.3'],['19'],['2']
Joseph Himon II,NU,['RB'],['19'],['63'],['3.3'],['12'],['0']
Jeffery Pittman,MSST,['RB'],['18'],['63'],['3.5'],['18'],['0']
Demarkcus Bowman,UCF,['RB'],['10'],['62'],['6.2'],['12'],['1']
Aaron Turner,CIN,['WR'],['8'],['62'],['7.8'],['25'],['0']
Zuberi Mobley,FAU,['RB'],['22'],['62'],['2.8'],['11'],['0']
Justice Haynes,ALA,['RB'],['10'],['62'],['6.2'],['16'],['0']
Markel Johnson,ARMY,['RB'],['20'],['62'],['3.1'],['11'],['0']
Jaylen Jenkins,WSU,['RB'],['20'],['62'],['3.1'],['17'],['0']
Dontae Smith,GT,['RB'],['13'],['61'],['4.7'],['14'],['0']
Trayvon Rudolph,NIU,['WR'],['13'],['61'],['4.7'],['36'],['0']
PaSean Wimberly,BGSU,['RB'],['16'],['61'],['3.8'],['12'],['0']
Creed Whittemore,MSST,['WR'],['3'],['61'],['20.3'],['53'],['1']
Jake Strong,TTU,['QB'],['6'],['61'],['10.2'],['54'],['0']
Dante Dowdell,ORE,['RB'],['12'],['61'],['5.1'],['13'],['1']
Jack Turner,LT,['QB'],['29'],['61'],['2.1'],['12'],['2']
Ethan Garbers,UCLA,['QB'],['11'],['60'],['5.5'],['18'],['0']
Keyvone Lee,MSST,['RB'],['8'],['60'],['7.5'],['33'],['0']
Sy'veon Wilkerson,COLO,['RB'],['20'],['60'],['3.0'],['10'],['1']
Andrew Paul,UGA,['RB'],['14'],['60'],['4.3'],['13'],['0']
John Mateer,WSU,['QB'],['13'],['60'],['4.6'],['15'],['2']
Phil Jurkovec,PITT,['QB'],['38'],['59'],['1.6'],['23'],['1']
Charlie Spegal,BALL,['RB'],['11'],['59'],['5.4'],['14'],['1']
Aidan Laughery,ILL,['RB'],['13'],['59'],['4.5'],['19'],['1']
Reggion Bennett,JVST,['RB'],['22'],['59'],['2.7'],['13'],['0']
Sam Jackson V,CAL,['QB'],['26'],['59'],['2.3'],['27'],['1']
Gage Larvadain,M-OH,['WR'],['5'],['59'],['11.8'],['46'],['0']
Logan Fife,FRES,['QB'],['15'],['58'],['3.9'],['16'],['0']
Ta'Quan Roberson,CONN,['QB'],['30'],['57'],['1.9'],['24'],['2']
Kamarro Edmonds,ECU,['RB'],['11'],['56'],['5.1'],['17'],['2']
Nick Mosley,BGSU,['RB'],['8'],['56'],['7.0'],['23'],['0']
Drew Allar,PSU,['QB'],['41'],['56'],['1.4'],['13'],['3']
Jordan McDonald,UCF,['RB'],['18'],['56'],['3.1'],['10'],['3']
Miles Stewart,ARMY,['RB'],['14'],['56'],['4.0'],['10'],['0']
Cedric Hawkins,ARST,['RB'],['11'],['56'],['5.1'],['28'],['0']
Shedro Louis,TULN,['RB'],['19'],['55'],['2.9'],['8'],['0']
Larenzo McMillan,NMSU,['RB'],['4'],['55'],['13.8'],['30'],['0']
Jam Miller,ALA,['RB'],['13'],['55'],['4.2'],['19'],['0']
CJ Harris,OHIO,['QB'],['12'],['55'],['4.6'],['23'],['0']
Grant Wilson,ODU,['QB'],['62'],['55'],['0.9'],['25'],['1']
Kyson Brown,ASU,['RB'],['13'],['55'],['4.2'],['15'],['0']
Tony Muskett,UVA,['QB'],['47'],['54'],['1.1'],['20'],['1']
Jackson Arnold,OU,['QB'],['12'],['54'],['4.5'],['11'],['1']
Ahmad Haston,MASS,['QB'],['16'],['54'],['3.4'],['7'],['0']
Benjamin Yurosek,STAN,['TE'],['11'],['53'],['4.8'],['10'],['0']
EJ Wilson Jr.,TEM,['RB'],['10'],['53'],['5.3'],['20'],['0']
Noah Kim,MSU,['QB'],['27'],['53'],['2.0'],['14'],['0']
Jack Shields,ODU,['QB'],['22'],['53'],['2.4'],['66'],['1']
Quinn Ewers,TEX,['QB'],['39'],['53'],['1.4'],['30'],['5']
Ryan Butler,STAN,['RB'],['15'],['53'],['3.5'],['17'],['0']
Chase Gillespie,VAN,['RB'],['16'],['52'],['3.3'],['10'],['0']
Jha'Quan Jackson,TULN,['WR'],['4'],['51'],['12.8'],['24'],['0']
George Holani,BOIS,['RB'],['10'],['51'],['5.1'],['11'],['0']
Hayden Wolff,WMU,['QB'],['18'],['51'],['2.8'],['20'],['2']
Obie Sanni,ODU,['RB'],['15'],['51'],['3.4'],['10'],['0']
Elijah Davis,UL,['RB'],['13'],['51'],['3.9'],['11'],['1']
Dominique Johnson,ARK,['RB'],['20'],['50'],['2.5'],['13'],['0']
Carson Beck,UGA,['QB'],['28'],['50'],['1.8'],['14'],['3']
J'Wan Evans,JVST,['RB'],['17'],['50'],['2.9'],['12'],['4']
Fernando Mendoza,CAL,['QB'],['12'],['50'],['4.2'],['14'],['0']
Brock Lampe,NIU,['FB'],['12'],['50'],['4.2'],['11'],['1']
Seth Anderson,IOWA,['WR'],['3'],['50'],['16.7'],['30'],['0']
Keyvon Walker,FAU,['RB'],['11'],['50'],['4.5'],['20'],['0']
Ty Thompson,ORE,['QB'],['6'],['49'],['8.2'],['13'],['0']
Aveon Smith,M-OH,['QB'],['8'],['49'],['6.1'],['48'],['0']
Zachariah Branch,USC,['WR'],['6'],['49'],['8.2'],['17'],['1']
Matt Jones,MISS,['RB'],['6'],['49'],['8.2'],['36'],['2']
Anthony Colandrea,UVA,['QB'],['33'],['49'],['1.5'],['16'],['0']
Carson Hansen,ISU,['RB'],['14'],['49'],['3.5'],['12'],['0']
Grayson McCall,CCU,['QB'],['53'],['48'],['0.9'],['12'],['1']
Isaiah Newell,ORST,['RB'],['12'],['48'],['4.0'],['11'],['0']
Jamal Johnson,BGSU,['RB'],['7'],['48'],['6.9'],['32'],['0']
Marlon Gunn Jr.,ECU,['RB'],['20'],['48'],['2.4'],['13'],['0']
Makhilyn Young,NMSU,['RB'],['9'],['48'],['5.3'],['31'],['1']
Eugene Wilson III,FLA,['WR'],['4'],['48'],['12.0'],['18'],['0']
Bryce Farrell,STAN,['WR'],['15'],['47'],['3.1'],['12'],['3']
Thad Franklin Jr.,ULM,['RB'],['12'],['47'],['3.9'],['23'],['1']
Jack Salopek,WMU,['QB'],['17'],['46'],['2.7'],['14'],['0']
Brandon Campbell,HOU,['RB'],['18'],['46'],['2.6'],['11'],['0']
Micah Bernard,UTAH,['RB'],['7'],['45'],['6.4'],['13'],['0']
Brock Vandagriff,UGA,['QB'],['3'],['45'],['15.0'],['18'],['0']
Alton McCaskill,COLO,['RB'],['12'],['45'],['3.8'],['6'],['0']
Djouvensky Schlenbaker,WSU,['RB'],['5'],['45'],['9.0'],['20'],['0']
Ethan Vasko,CCU,['QB'],['4'],['45'],['11.3'],['41'],['0']
Rodney Gallagher,WVU,['WR'],['7'],['45'],['6.4'],['15'],['0']
Bryson Washington,BAY,['RB'],['10'],['45'],['4.5'],['11'],['0']
Devon Rivers,FRES,['RB'],['12'],['44'],['3.7'],['14'],['0']
Taisun Phommachanh,MASS,['QB'],['42'],['43'],['1.0'],['31'],['2']
TJ Finley,TXST,['QB'],['37'],['43'],['1.2'],['17'],['3']
Ahmani Marshall,APP,['RB'],['10'],['43'],['4.3'],['11'],['1']
Jaylen Coleman,DUKE,['RB'],['7'],['43'],['6.1'],['15'],['0']
Caleb Hood,UNC,['RB'],['15'],['43'],['2.9'],['13'],['1']
Ke'Travion Hargrove,MEM,['RB'],['11'],['43'],['3.9'],['17'],['1']
Bryce Duke,VT,['RB'],['3'],['43'],['14.3'],['31'],['0']
Zach Hrbacek,SHSU,['RB'],['19'],['43'],['2.3'],['9'],['0']
Jalil Farooq,OU,['WR'],['9'],['42'],['4.7'],['11'],['0']
Travis Bates,DUKE,['RB'],['5'],['42'],['8.4'],['32'],['0']
Kevin Hurley,UTEP,['QB'],['14'],['42'],['3.0'],['18'],['1']
Cam Cook,TCU,['RB'],['9'],['42'],['4.7'],['16'],['0']
Jay Ducker,MEM,['RB'],['8'],['41'],['5.1'],['22'],['0']
Ahmari Huggins-Bruce,LOU,['WR'],['4'],['41'],['10.3'],['19'],['1']
Sevion Morrison,KU,['RB'],['8'],['41'],['5.1'],['9'],['1']
Maddux Madsen,BOIS,['QB'],['16'],['41'],['2.6'],['21'],['1']
Tristen Rigby,CLEM,['RB'],['2'],['41'],['20.5'],['35'],['0']
Juju McDowell,SC,['RB'],['17'],['41'],['2.4'],['17'],['2']
Lee Witherspoon,UAB,['RB'],['13'],['40'],['3.1'],['17'],['0']
Ryan O'Keefe,BC,['WR'],['5'],['40'],['8.0'],['14'],['1']
Jacques Badolato-Birdsell,NEV,['RB'],['14'],['40'],['2.9'],['5'],['0']
Deion Smith,BYU,['RB'],['19'],['39'],['2.1'],['9'],['1']
Brian Snead,ARST,['RB'],['16'],['39'],['2.4'],['8'],['0']
Trenton Bourguet,ASU,['QB'],['17'],['39'],['2.3'],['17'],['2']
Cole Snyder,BUFF,['QB'],['46'],['39'],['0.8'],['22'],['1']
JC French,GASO,['QB'],['9'],['39'],['4.3'],['18'],['0']
Kevin Concepcion,NCSU,['WR'],['5'],['39'],['7.8'],['21'],['0']
CJ Campbell Jr.,FSU,['RB'],['4'],['39'],['9.8'],['19'],['0']
Gunnar Gundy,OKST,['QB'],['14'],['39'],['2.8'],['21'],['0']
Leo Pulalasi,WSU,['RB'],['7'],['39'],['5.6'],['16'],['0']
Keith Adams Jr.,CLEM,['RB'],['7'],['39'],['5.6'],['13'],['0']
Carlos Del Rio-Wilson,SYR,['QB'],['9'],['38'],['4.2'],['15'],['0']
Alex Orji,MICH,['QB'],['7'],['38'],['5.4'],['16'],['1']
Kaden Moorman,LOU,['RB'],['5'],['38'],['7.6'],['25'],['0']
D.J. Oliver,WVU,['RB'],['10'],['38'],['3.8'],['6'],['1']
Trace Campbell,UAB,['QB'],['6'],['38'],['6.3'],['14'],['0']
Darwin Barlow,USC,['RB'],['6'],['37'],['6.2'],['23'],['0']
Yulkeith Brown,TULN,['WR'],['3'],['37'],['12.3'],['15'],['2']
Aidan Chiles,ORST,['QB'],['8'],['37'],['4.6'],['19'],['1']
Sam Hicks,CMU,['RB'],['8'],['37'],['4.6'],['8'],['0']
Ramon Jefferson,UK,['RB'],['7'],['36'],['5.1'],['16'],['0']
Lideatrick Griffin,MSST,['WR'],['11'],['36'],['3.3'],['14'],['1']
MJ Morris,NCSU,['QB'],['20'],['36'],['1.8'],['16'],['0']
Daylan Smothers,OU,['RB'],['9'],['36'],['4.0'],['16'],['0']
Amare Thomas,UAB,['WR'],['3'],['36'],['12.0'],['33'],['0']
Curtis Douglas,KENT,['RB'],['7'],['36'],['5.1'],['12'],['0']
Jack Tuttle,MICH,['QB'],['4'],['35'],['8.8'],['18'],['0']
Devin Brown,OSU,['QB'],['19'],['35'],['1.8'],['8'],['1']
Christian Nash,NIU,['RB'],['8'],['35'],['4.4'],['16'],['0']
Daelen Alexander,RICE,['RB'],['18'],['35'],['1.9'],['9'],['5']
Jay Haynes,CLEM,['RB'],['6'],['35'],['5.8'],['17'],['1']
Geordon Porter,CONN,['WR'],['1'],['34'],['34.0'],['34'],['0']
Ikaika Ragsdale,UNT,['RB'],['9'],['34'],['3.8'],['17'],['0']
